Item;Código de item;Nome do produto;Descrição química;Grau de Etoxilação;Grupo de Família;Família de Produtos;Peso Molecular;Data inicial do estudo;Tipo de estudo;Ensaios físico-químicos;ensaio_normalizado;categoria_ensaio;is_quantitativo;Método;Especificação;spec_tipo;spec_min;spec_max;0 dia_valor;0 dia_menor_que;1 sem_valor;1 sem_menor_que;2 sem_valor;2 sem_menor_que;1m_valor;1m_menor_que;2m_valor;2m_menor_que;3m_valor;3m_menor_que;4m_valor;4m_menor_que;5m_valor;5m_menor_que;6m_valor;6m_menor_que;9m_valor;9m_menor_que;12m_valor;12m_menor_que;18m_valor;18m_menor_que;24m_valor;24m_menor_que;30m_valor;30m_menor_que;36m_valor;36m_menor_que
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Longa duração;Viscosidade 25°C, BKF, cp;Viscosidade;Fisico-Quimico;True;MA - 665;900 - 1000000;RANGE;900.0;1000000.0;1061.0;False;;False;;False;;False;;False;1098.0;False;;False;;False;903.0;False;618.0;False;515.25;False;339.35;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Longa duração;Dioxana, ppm;Dioxana;Contaminante;True;MA-716;125 máx.;MAXIMO;;125.0;33.9;False;;False;;False;;False;;False;27.0;False;;False;;False;4.36;False;1.0;True;3.4;False;12.0;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Longa duração;Aparência temp. ambiente;Aparencia;Organoleptico;False;MA-742;flocos amarelados;DESCRITIVA;;;FLOCOS;False;;False;;False;;False;;False;FLOCOS;False;;False;;False;FLOCOS;False;FLOCOS;False;FLOCOS;False;FLOCOS;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Longa duração;Ponto de fusão, °C;Ponto de Fusao;Fisico-Quimico;True;MA-775;52,0 - 57,0;RANGE;52.0;57.0;52.37;False;;False;;False;;False;;False;51.77;False;;False;;False;52.37;False;53.2;False;53.2;False;52.1;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Longa duração;Cor Gardner, 60°C;Cor Gardner;Cor;True;MA-782;3 máx.;MAXIMO;;3.0;2.0;False;;False;;False;;False;;False;1.0;False;;False;;False;1.0;False;2.0;False;1.0;False;1.0;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Longa duração;Índice de saponificação, mgKOH/g;Indice de Saponificacao;Fisico-Quimico;True;MA-810;13,0 - 25,0;RANGE;13.0;25.0;17.71;False;;False;;False;;False;;False;17.55;False;;False;;False;18.16;False;13.3;False;18.18;False;18.76;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Longa duração;Água, %;Teor de Agua;Fisico-Quimico;True;MA-875;2,0 máx.;MAXIMO;;2.0;1.94;False;;False;;False;;False;;False;2.09;False;;False;;False;1.98;False;1.51;False;1.7;False;1.36;False;;False;;False;;False
4;S97;Alkest SP 20 FGM K;Monolaurato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;346;2016-04-01;Acelerado;Hidroxila, índice de, mg KOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA-525;330,0 - 358,0;RANGE;330.0;358.0;350.85;False;;False;;False;350.39;False;;False;350.06;False;;False;;False;348.16;False;;False;;False;;False;;False;;False;;False
4;S97;Alkest SP 20 FGM K;Monolaurato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;346;2016-04-01;Acelerado;N° ácido, mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA-638;8,0 máx.;MAXIMO;;8.0;3.62;False;;False;;False;3.73;False;;False;3.7;False;;False;;False;4.17;False;;False;;False;;False;;False;;False;;False
4;S97;Alkest SP 20 FGM K;Monolaurato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;346;2016-04-01;Acelerado;pH, 10% aquoso, 25ºC;pH;Fisico-Quimico;True;MA-729;3,0 -11,0;RANGE;3.0;11.0;7.28;False;;False;;False;7.12;False;;False;7.41;False;;False;;False;6.91;False;;False;;False;;False;;False;;False;;False
4;S97;Alkest SP 20 FGM K;Monolaurato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;346;2016-04-01;Acelerado;Saponificação, índice de , mgKOH/g;Indice de Saponificacao;Fisico-Quimico;True;MA-810;158,0 - 170,0;RANGE;158.0;170.0;166.3;False;;False;;False;166.12;False;;False;168.46;False;;False;;False;167.66;False;;False;;False;;False;;False;;False;;False
4;S97;Alkest SP 20 FGM K;Monolaurato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;346;2016-04-01;Acelerado;Água, %p;Teor de Agua;Fisico-Quimico;True;MA-875;1,0 máx.;MAXIMO;;1.0;0.36;False;;False;;False;0.32;False;;False;0.32;False;;False;;False;0.51;False;;False;;False;;False;;False;;False;;False
4;S97;Alkest SP 20 FGM K;Monolaurato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;346;2016-04-01;Acelerado;Cor Gardner, 25ºC;Cor Gardner;Cor;True;MA-881;5,0 máx.;MAXIMO;;5.0;5.0;False;;False;;False;5.0;False;;False;5.0;False;;False;;False;5.0;False;;False;;False;;False;;False;;False;;False
4;S97;Alkest SP 20 FGM K;Monolaurato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;346;2016-04-01;Longa duração;Hidroxila, índice de, mg KOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA-525;330,0 - 358,0;RANGE;330.0;358.0;350.85;False;;False;;False;;False;;False;354.82;False;;False;;False;348.22;False;356.74;False;350.82;False;346.38;False;357.95;False;350.92;False;344.43;False
4;S97;Alkest SP 20 FGM K;Monolaurato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;346;2016-04-01;Longa duração;N° ácido, mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA-638;8,0 máx.;MAXIMO;;8.0;3.62;False;;False;;False;;False;;False;3.69;False;;False;;False;3.71;False;3.93;False;4.04;False;4.21;False;4.33;False;4.82;False;5.89;False
4;S97;Alkest SP 20 FGM K;Monolaurato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;346;2016-04-01;Longa duração;pH, 10% aquoso, 25ºC;pH;Fisico-Quimico;True;MA-729;3,0 -11,0;RANGE;3.0;11.0;7.28;False;;False;;False;;False;;False;7.31;False;;False;;False;6.98;False;7.0;False;7.14;False;6.9;False;7.1;False;6.92;False;7.25;False
4;S97;Alkest SP 20 FGM K;Monolaurato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;346;2016-04-01;Longa duração;Saponificação, índice de , mgKOH/g;Indice de Saponificacao;Fisico-Quimico;True;MA-810;158,0 - 170,0;RANGE;158.0;170.0;166.3;False;;False;;False;;False;;False;167.83;False;;False;;False;167.31;False;166.35;False;166.18;False;166.78;False;164.62;False;165.14;False;165.8;False
4;S97;Alkest SP 20 FGM K;Monolaurato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;346;2016-04-01;Longa duração;Água, %p;Teor de Agua;Fisico-Quimico;True;MA-875;1,0 máx.;MAXIMO;;1.0;0.36;False;;False;;False;;False;;False;0.44;False;;False;;False;0.43;False;0.61;False;0.6;False;0.41;False;0.48;False;0.56;False;0.98;False
4;S97;Alkest SP 20 FGM K;Monolaurato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;346;2016-04-01;Longa duração;Cor Gardner, 25ºC;Cor Gardner;Cor;True;MA-881;5,0 máx.;MAXIMO;;5.0;5.0;False;;False;;False;;False;;False;5.0;False;;False;;False;5.0;False;5.0;False;5.0;False;5.0;False;5.2;False;5.5;False;5.2;False
5;T02;Alkest SP 60 FGM K;Monoestearato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;430;2016-04-01;Acelerado;Hidroxila, índice de, mg KOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA-525;235,0 - 260,0;RANGE;235.0;260.0;239.12;False;;False;;False;240.57;False;;False;243.92;False;;False;;False;240.28;False;;False;;False;;False;;False;;False;;False
5;T02;Alkest SP 60 FGM K;Monoestearato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;430;2016-04-01;Acelerado;N° ácido, mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA-638;10,0 máx.;MAXIMO;;10.0;3.8;False;;False;;False;4.49;False;;False;4.85;False;;False;;False;5.33;False;;False;;False;;False;;False;;False;;False
5;T02;Alkest SP 60 FGM K;Monoestearato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;430;2016-04-01;Acelerado;pH, 10% aquoso, 25ºC;pH;Fisico-Quimico;True;MA-729;5,0 - 9,0;RANGE;5.0;9.0;8.26;False;;False;;False;7.96;False;;False;5.63;False;;False;;False;7.67;False;;False;;False;;False;;False;;False;;False
5;T02;Alkest SP 60 FGM K;Monoestearato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;430;2016-04-01;Acelerado;Saponificação, índice de , mgKOH/g;Indice de Saponificacao;Fisico-Quimico;True;MA-810;147,0 - 157,0;RANGE;147.0;157.0;148.65;False;;False;;False;144.94;False;;False;148.9;False;;False;;False;142.99;False;;False;;False;;False;;False;;False;;False
5;T02;Alkest SP 60 FGM K;Monoestearato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;430;2016-04-01;Acelerado;Água, %p;Teor de Agua;Fisico-Quimico;True;MA-875;1,0 máx.;MAXIMO;;1.0;1.14;False;;False;;False;1.19;False;;False;1.24;False;;False;;False;2.26;False;;False;;False;;False;;False;;False;;False
5;T02;Alkest SP 60 FGM K;Monoestearato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;430;2016-04-01;Acelerado;Cor Gardner, 60ºC;Cor Gardner;Cor;True;MA-881;8,0 máx.;MAXIMO;;8.0;6.0;False;;False;;False;12.0;False;;False;11.0;False;;False;;False;12.0;False;;False;;False;;False;;False;;False;;False
5;T02;Alkest SP 60 FGM K;Monoestearato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;430;2016-04-01;Longa duração;Hidroxila, índice de, mg KOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA-525;235,0 - 260,0;RANGE;235.0;260.0;239.12;False;;False;;False;;False;;False;244.44;False;;False;;False;240.94;False;244.83;False;237.48;False;236.26;False;;False;;False;;False
5;T02;Alkest SP 60 FGM K;Monoestearato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;430;2016-04-01;Longa duração;N° ácido, mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA-638;10,0 máx.;MAXIMO;;10.0;3.8;False;;False;;False;;False;;False;4.42;False;;False;;False;4.26;False;4.83;False;5.42;False;5.38;False;;False;;False;;False
5;T02;Alkest SP 60 FGM K;Monoestearato de sorbitan;Não aplicável;Esters and Their Derivatives;Sorbitan ester;430;2016-04-01;Longa duração;pH, 10% aquoso, 25ºC;pH;Fisico-Quimico;True;MA-729;5,0 - 9,0;RANGE;5.0;9.0;8.26;False;;False;;False;;False;;False;7.68;False;;False;;False;7.51;False;7.84;False;7.65;False;;False;;False;;False;;False
